Service Type,Prefix,Number Length,From,To,Status,Quantity,Allocatee,Allocation Date,Latest Holder,Latest Transfer Date,Current EROU holder,EROU assignment date,Numbering Area
Local rate,132,6,132573,132573,Spare,1,,,,,,,
Local rate,132,6,132575,132576,Spare,2,,,,,,,
Local rate,132,6,132578,132578,Spare,1,,,,,,,
Local rate,132,6,132580,132581,Spare,2,,,,,,,
Local rate,132,6,132584,132584,Spare,1,,,,,,,
Local rate,132,6,132587,132587,Spare,1,,,,,,,
Local rate,132,6,132590,132598,Spare,9,,,,,,,
Local rate,132,6,132602,132606,Spare,5,,,,,,,
Local rate,132,6,132608,132609,Spare,2,,,,,,,
Local rate,132,6,132611,132612,Spare,2,,,,,,,
Local rate,132,6,132614,132615,Spare,2,,,,,,,
Local rate,132,6,132617,132621,Spare,5,,,,,,,
Local rate,132,6,132623,132623,Spare,1,,,,,,,
Local rate,132,6,132630,132631,Spare,2,,,,,,,
Local rate,132,6,132634,132635,Spare,2,,,,,,,
Local rate,132,6,132638,132641,Spare,4,,,,,,,
Local rate,132,6,132643,132643,Spare,1,,,,,,,
Local rate,132,6,132645,132647,Spare,3,,,,,,,
Local rate,132,6,132649,132650,Spare,2,,,,,,,
Local rate,132,6,132656,132656,Spare,1,,,,,,,
Local rate,132,6,132661,132661,Spare,1,,,,,,,
Local rate,132,6,132666,132667,Spare,2,,,,,,,
Local rate,132,6,132671,132671,Spare,1,,,,,,,
Local rate,132,6,132673,132673,Spare,1,,,,,,,
Local rate,132,6,132679,132682,Spare,4,,,,,,,
Local rate,132,6,132685,132686,Spare,2,,,,,,,
Local rate,132,6,132689,132690,Spare,2,,,,,,,
Local rate,132,6,132692,132695,Spare,4,,,,,,,
Local rate,132,6,132697,132697,Spare,1,,,,,,,
Local rate,132,6,132699,132699,Spare,1,,,,,,,
Local rate,132,6,132702,132712,Spare,11,,,,,,,
Local rate,132,6,132714,132716,Spare,3,,,,,,,
Local rate,132,6,132718,132721,Spare,4,,,,,,,
Local rate,132,6,132724,132724,Spare,1,,,,,,,
Local rate,132,6,132728,132728,Spare,1,,,,,,,
Local rate,132,6,132730,132731,Spare,2,,,,,,,
Local rate,132,6,132734,132734,Spare,1,,,,,,,
Local rate,132,6,132738,132738,Spare,1,,,,,,,
Local rate,132,6,132740,132741,Spare,2,,,,,,,
Local rate,132,6,132743,132743,Spare,1,,,,,,,
Local rate,132,6,132745,132745,Spare,1,,,,,,,
Local rate,132,6,132748,132749,Spare,2,,,,,,,
Local rate,132,6,132751,132755,Spare,5,,,,,,,
Local rate,132,6,132757,132761,Spare,5,,,,,,,
Local rate,132,6,132763,132763,Spare,1,,,,,,,
Local rate,132,6,132770,132772,Spare,3,,,,,,,
Local rate,132,6,132776,132776,Spare,1,,,,,,,
Local rate,132,6,132778,132778,Spare,1,,,,,,,
Local rate,132,6,132780,132783,Spare,4,,,,,,,
Local rate,132,6,132785,132785,Spare,1,,,,,,,
Local rate,132,6,132790,132793,Spare,4,,,,,,,
Local rate,132,6,132795,132801,Spare,7,,,,,,,
Local rate,132,6,132803,132807,Spare,5,,,,,,,
Local rate,132,6,132809,132810,Spare,2,,,,,,,
Local rate,132,6,132813,132817,Spare,5,,,,,,,
Local rate,132,6,132819,132821,Spare,3,,,,,,,
Local rate,132,6,132830,132831,Spare,2,,,,,,,
Local rate,132,6,132838,132841,Spare,4,,,,,,,
Local rate,132,6,132844,132844,Spare,1,,,,,,,
Local rate,132,6,132851,132851,Spare,1,,,,,,,
Local rate,132,6,132853,132854,Spare,2,,,,,,,
Local rate,132,6,132856,132859,Spare,4,,,,,,,
Local rate,132,6,132871,132871,Spare,1,,,,,,,
Local rate,132,6,132875,132876,Spare,2,,,,,,,
Local rate,132,6,132880,132883,Spare,4,,,,,,,
Local rate,132,6,132885,132885,Spare,1,,,,,,,
Local rate,132,6,132887,132887,Spare,1,,,,,,,
Local rate,132,6,132889,132895,Spare,7,,,,,,,
Local rate,132,6,132897,132898,Spare,2,,,,,,,
Local rate,132,6,132901,132908,Spare,8,,,,,,,
Local rate,132,6,132910,132916,Spare,7,,,,,,,
Local rate,132,6,132918,132923,Spare,6,,,,,,,
Local rate,132,6,132929,132929,Spare,1,,,,,,,
Local rate,132,6,132931,132935,Spare,5,,,,,,,
Local rate,132,6,132937,132938,Spare,2,,,,,,,
Local rate,132,6,132940,132941,Spare,2,,,,,,,
Local rate,132,6,132943,132949,Spare,7,,,,,,,
Local rate,132,6,132951,132954,Spare,4,,,,,,,
Local rate,132,6,132956,132958,Spare,3,,,,,,,
Local rate,132,6,132960,132967,Spare,8,,,,,,,
Local rate,132,6,132969,132972,Spare,4,,,,,,,
Local rate,132,6,132974,132975,Spare,2,,,,,,,
Local rate,132,6,132978,132978,Spare,1,,,,,,,
Local rate,132,6,132980,132986,Spare,7,,,,,,,
Local rate,132,6,132988,132993,Spare,6,,,,,,,
Local rate,132,6,132995,132998,Spare,4,,,,,,,
Local rate,133,6,133001,133001,Spare,1,,,,,,,
Local rate,133,6,133003,133003,Spare,1,,,,,,,
Local rate,133,6,133005,133005,Spare,1,,,,,,,
Local rate,133,6,133009,133009,Spare,1,,,,,,,
Local rate,133,6,133011,133011,Spare,1,,,,,,,
Local rate,133,6,133014,133019,Spare,6,,,,,,,
Local rate,133,6,133022,133023,Spare,2,,,,,,,
Local rate,133,6,133025,133025,Spare,1,,,,,,,
Local rate,133,6,133027,133029,Spare,3,,,,,,,
Local rate,133,6,133031,133031,Spare,1,,,,,,,
Local rate,133,6,133035,133036,Spare,2,,,,,,,
Local rate,133,6,133040,133049,Spare,10,,,,,,,
Local rate,133,6,133051,133054,Spare,4,,,,,,,
Local rate,133,6,133057,133059,Spare,3,,,,,,,
Local rate,133,6,133063,133065,Spare,3,,,,,,,
Local rate,133,6,133067,133072,Spare,6,,,,,,,
Local rate,133,6,133074,133079,Spare,6,,,,,,,
Local rate,133,6,133081,133085,Spare,5,,,,,,,
Local rate,133,6,133087,133089,Spare,3,,,,,,,
Local rate,133,6,133092,133094,Spare,3,,,,,,,
Local rate,133,6,133097,133099,Spare,3,,,,,,,
Local rate,133,6,133101,133109,Spare,9,,,,,,,
Local rate,133,6,133112,133120,Spare,9,,,,,,,
Local rate,133,6,133124,133128,Spare,5,,,,,,,
Local rate,133,6,133131,133131,Spare,1,,,,,,,
Local rate,133,6,133134,133134,Spare,1,,,,,,,
Local rate,133,6,133138,133139,Spare,2,,,,,,,
Local rate,133,6,133142,133143,Spare,2,,,,,,,
Local rate,133,6,133145,133147,Spare,3,,,,,,,
Local rate,133,6,133149,133150,Spare,2,,,,,,,
Local rate,133,6,133152,133154,Spare,3,,,,,,,
Local rate,133,6,133157,133159,Spare,3,,,,,,,
Local rate,133,6,133162,133165,Spare,4,,,,,,,
Local rate,133,6,133167,133172,Spare,6,,,,,,,
Local rate,133,6,133175,133176,Spare,2,,,,,,,
Local rate,133,6,133178,133187,Spare,10,,,,,,,
Local rate,133,6,133189,133193,Spare,5,,,,,,,
Local rate,133,6,133195,133198,Spare,4,,,,,,,
Local rate,133,6,133201,133219,Spare,19,,,,,,,
Local rate,133,6,133221,133221,Spare,1,,,,,,,
Local rate,133,6,133223,133223,Spare,1,,,,,,,
Local rate,133,6,133228,133228,Spare,1,,,,,,,
Local rate,133,6,133230,133231,Spare,2,,,,,,,
Local rate,133,6,133235,133236,Spare,2,,,,,,,
Local rate,133,6,133239,133239,Spare,1,,,,,,,
Local rate,133,6,133241,133241,Spare,1,,,,,,,
Local rate,133,6,133244,133245,Spare,2,,,,,,,
Local rate,133,6,133249,133252,Spare,4,,,,,,,
Local rate,133,6,133255,133256,Spare,2,,,,,,,
Local rate,133,6,133260,133262,Spare,3,,,,,,,
Local rate,133,6,133268,133268,Spare,1,,,,,,,
Local rate,133,6,133270,133271,Spare,2,,,,,,,
Local rate,133,6,133273,133275,Spare,3,,,,,,,
Local rate,133,6,133280,133281,Spare,2,,,,,,,
Local rate,133,6,133283,133283,Spare,1,,,,,,,
Local rate,133,6,133288,133292,Spare,5,,,,,,,
Local rate,133,6,133294,133297,Spare,4,,,,,,,
Local rate,133,6,133302,133302,Spare,1,,,,,,,
Local rate,133,6,133305,133309,Spare,5,,,,,,,
Local rate,133,6,133312,133312,Spare,1,,,,,,,
Local rate,133,6,133314,133319,Spare,6,,,,,,,
Local rate,133,6,133323,133323,Spare,1,,,,,,,
Local rate,133,6,133329,133329,Spare,1,,,,,,,
Local rate,133,6,133332,133332,Spare,1,,,,,,,
Local rate,133,6,133334,133334,Spare,1,,,,,,,
Local rate,133,6,133341,133341,Spare,1,,,,,,,
Local rate,133,6,133346,133346,Spare,1,,,,,,,
Local rate,133,6,133351,133352,Spare,2,,,,,,,
Local rate,133,6,133359,133361,Spare,3,,,,,,,
Local rate,133,6,133364,133364,Spare,1,,,,,,,
Local rate,133,6,133366,133367,Spare,2,,,,,,,
Local rate,133,6,133371,133373,Spare,3,,,,,,,
Local rate,133,6,133375,133375,Spare,1,,,,,,,
Local rate,133,6,133379,133379,Spare,1,,,,,,,
Local rate,133,6,133381,133381,Spare,1,,,,,,,
Local rate,133,6,133385,133385,Spare,1,,,,,,,
Local rate,133,6,133387,133387,Spare,1,,,,,,,
Local rate,133,6,133391,133391,Spare,1,,,,,,,
Local rate,133,6,133395,133395,Spare,1,,,,,,,
